game_title,language,total,positive_rate
crimson_desert,bulgarian,58,100.0
crimson_desert,romanian,113,100.0
crimson_desert,indonesian,160,100.0
crimson_desert,latam,1725,95.77
crimson_desert,portuguese,567,94.71
crimson_desert,dutch,728,93.82
crimson_desert,finnish,217,93.09
crimson_desert,brazilian,11178,92.42
crimson_desert,italian,2299,91.65
crimson_desert,czech,708,91.53
crimson_desert,danish,175,91.43
crimson_desert,spanish,6644,89.78
crimson_desert,hungarian,485,87.84
crimson_desert,norwegian,229,87.77
crimson_desert,turkish,3254,87.77
crimson_desert,koreana,15758,86.7
crimson_desert,greek,102,85.29
crimson_desert,polish,3015,85.11
crimson_desert,english,93363,84.87
crimson_desert,french,6867,84.23
crimson_desert,swedish,449,83.74
crimson_desert,german,6870,83.1
crimson_desert,thai,350,79.14
crimson_desert,russian,10709,73.37
crimson_desert,tchinese,1070,72.52
crimson_desert,ukrainian,646,72.45
crimson_desert,schinese,30730,66.05
crimson_desert,japanese,981,64.83
crimson_desert,vietnamese,142,59.86
black_desert,thai,95,100.0
black_desert,koreana,95,100.0
black_desert,indonesian,190,100.0
black_desert,swedish,95,100.0
black_desert,schinese,95,100.0
black_desert,portuguese,95,100.0
black_desert,dutch,285,100.0
black_desert,greek,95,100.0
black_desert,brazilian,5593,83.07
black_desert,latam,474,80.17
black_desert,german,1800,78.94
black_desert,french,1517,74.95
black_desert,spanish,3414,72.17
black_desert,polish,285,66.67
black_desert,tchinese,755,62.65
black_desert,russian,6537,62.28
black_desert,turkish,6159,59.98
black_desert,english,20954,58.4
black_desert,italian,189,50.26
black_desert,japanese,189,50.26
black_desert,hungarian,284,33.45
black_desert,ukrainian,660,28.48
black_desert,czech,95,0.0
